greenhouse_id,crop_type,variety,planting_date,harvest_date,days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,soil_pH,yield_kg_per_m2
3.0,Lettuce,Leaf,2023-05-27,2023-06-26,30.0,16.5,14.9,18.2,59.7,919.0,35754.0,15.7,2.8,135.0,52.0,143.0,3.6,5.9,9.28
2.0,Tomato,Beefsteak,2023-09-27,2023-12-02,66.0,24.7,23.2,26.4,77.5,703.0,32760.0,11.5,7.9,163.0,103.0,166.0,1.7,6.8,17.7
1.0,Lettuce,Romaine,2023-02-25,2023-04-13,47.0,19.4,18.2,21.2,59.9,873.0,24355.0,10.4,8.6,115.0,39.0,144.0,1.6,7.0,6.08
3.0,Tomato,Roma,2023-06-24,2023-09-18,86.0,24.4,22.5,25.8,80.8,697.0,39774.0,16.0,5.6,,,,1.8,6.7,22.39
1.0,Pepper,Jalapeno,2023-07-16,2023-10-17,93.0,23.0,21.6,24.2,78.9,925.0,46430.0,15.6,5.7,125.0,75.0,142.0,0.8,7.4,12.09
4.0,Cucumber,English,2023-03-07,2023-04-28,52.0,21.9,20.7,24.8,100.0,654.0,29942.0,11.0,4.4,164.0,89.0,156.0,1.4,,15.4
3.0,Pepper,Habanero,2023-04-20,2023-07-16,87.0,24.5,21.6,26.4,61.3,738.0,34487.0,14.0,9.0,,,,1.0,7.1,12.57
3.0,Pepper,Bell,2023-06-09,2023-08-28,80.0,26.7,25.5,27.9,83.8,847.0,39581.0,15.9,7.9,174.0,69.0,199.0,1.0,7.6,10.66
5.0,Cucumber,Slicing,2023-02-19,2023-04-10,50.0,23.6,21.8,25.7,76.9,824.0,31116.0,10.0,6.0,187.0,97.0,171.0,0.9,6.3,16.14
4.0,Tomato,Beefsteak,2023-05-16,2023-08-13,89.0,22.5,21.4,25.3,68.5,715.0,40545.0,15.3,5.2,173.0,68.0,202.0,0.5,6.2,23.39
4.0,Cucumber,Pickling,2023-12-04,2024-02-06,64.0,,,,,,,10.0,8.8,146.0,59.0,144.0,0.0,5.9,11.45
2.0,Cucumber,Slicing,2023-06-30,2023-08-27,58.0,28.8,27.3,32.1,90.0,1012.0,46720.0,15.9,8.2,,,,0.7,6.8,10.31
1.0,Cucumber,Slicing,2023-10-06,2023-12-07,62.0,23.8,22.3,25.5,81.2,509.0,35239.0,10.9,7.3,125.0,86.0,147.0,3.3,6.4,10.26
5.0,Tomato,Roma,2023-11-26,2024-02-11,77.0,27.5,26.5,28.9,83.3,1044.0,22666.0,10.0,7.1,187.0,94.0,152.0,3.3,6.3,17.06
3.0,Cucumber,English,2023-08-25,2023-10-22,58.0,25.2,23.9,27.9,80.9,758.0,35843.0,13.7,7.3,192.0,75.0,191.0,0.0,5.7,15.89
5.0,Lettuce,Romaine,2023-05-25,2023-07-03,39.0,20.2,18.9,21.8,66.0,1043.0,32594.0,15.6,6.0,122.0,33.0,128.0,0.0,6.3,10.38
4.0,Cucumber,Slicing,2023-04-10,2023-06-12,63.0,26.9,25.6,28.8,89.1,856.0,29602.0,13.4,3.3,114.0,40.0,151.0,1.1,7.2,10.55
2.0,Cucumber,English,2023-02-25,2023-04-25,59.0,26.6,23.9,28.8,91.8,711.0,19644.0,10.4,11.1,,,,1.4,7.3,6.03
